,City,Country,Date,Latitude,Longitutde,Temperature (F),Humidity (%),Cloudiness (%),Windiness(mph)
0,Ushuaia,AR,1587268199,-54.8,-68.3,48.2,81,40,5.82
1,General Roca,AR,1587268478,-39.03,-67.58,73.4,27,2,9.17
2,Faanui,PF,1587268358,-16.48,-151.75,83.12,72,71,11.77
3,Rikitea,PF,1587268478,-23.12,-134.97,77.45,69,71,7.36
4,Jamestown,US,1587268244,42.1,-79.24,39.16,64,1,6.93
5,Sémbé,CG,1587268478,1.65,14.58,71.33,83,79,2.48
6,Husavik,IS,1587268388,66.04,-17.34,35.6,93,90,5.82
7,Puerto Ayora,EC,1587268305,-0.74,-90.35,80.01,88,10,4.0
8,Hermanus,ZA,1587268317,-34.42,19.23,60.01,68,88,4.12
9,Port Alfred,ZA,1587268479,-33.59,26.89,62.01,78,0,3.0
10,Karratha,AU,1587267886,-20.74,116.85,91.15,38,28,5.68
11,Snezhnogorsk,RU,1587268479,69.19,33.25,33.8,86,75,6.71
12,Mar del Plata,AR,1587268479,-38.0,-57.56,63.0,81,20,21.99
13,Pechenga,RU,1587268479,69.53,31.17,32.0,95,89,10.29
14,Busselton,AU,1587268034,-33.65,115.33,63.54,70,43,21.72
15,San Patricio,MX,1587267910,19.22,-104.7,75.36,73,62,11.74
16,Severo-Kuril'sk,RU,1587268480,50.68,156.12,33.4,92,81,17.72
17,Dikson,RU,1587268407,73.51,80.55,35.33,92,100,21.63
18,Cape Town,ZA,1587268365,-33.93,18.42,57.2,93,94,3.36
19,Catalina Foothills,US,1587268480,32.3,-110.92,66.76,28,1,8.05
20,Ribeira Grande,PT,1587268322,38.52,-28.7,60.64,71,79,20.6
21,Ketchikan,US,1587268480,55.34,-131.65,54.3,66,1,16.11
22,Saskylakh,RU,1587268481,71.92,114.08,20.07,89,0,7.25
23,Katsuura,JP,1587268186,35.13,140.3,71.01,44,1,1.01
24,Hasaki,JP,1587268481,35.73,140.83,69.64,42,20,17.22
25,Lüderitz,NA,1587268320,-26.65,15.16,59.0,87,10,3.36
26,Palmer,US,1587268363,42.16,-72.33,30.61,100,1,5.3
27,Lebu,CL,1587268481,-37.62,-73.65,54.03,91,93,1.54
28,Tasiilaq,GL,1587268318,65.61,-37.64,32.0,97,100,18.34
29,Mala Danylivka,UA,1587268481,50.06,36.17,38.79,69,88,3.24
30,Panama City,PA,1587268195,8.99,-79.52,79.0,72,77,1.01
31,Lagoa,PT,1587268482,39.05,-27.98,61.32,72,100,22.39
32,Colares,PT,1587268482,38.8,-9.45,56.53,64,0,1.99
33,Bredasdorp,ZA,1587268482,-34.53,20.04,60.8,55,84,9.17
34,San Ramon,US,1587268483,37.78,-121.98,54.1,66,1,10.29
35,Punta Arenas,CL,1587268483,-53.15,-70.92,42.39,75,75,5.82
36,Avarua,CK,1587268483,-21.21,-159.78,80.6,74,79,9.17
37,Cranbrook,CA,1587268186,49.5,-115.77,44.6,59,75,5.82
38,Pisco,PE,1587268483,-13.7,-76.22,68.86,82,0,10.29
39,Bacolod City,PH,1587268483,10.67,122.95,91.42,47,5,7.25
40,Castro,BR,1587268313,-24.79,-50.01,54.43,71,31,5.95
41,Batetskiy,RU,1587268483,58.65,30.3,33.17,94,98,6.46
42,Kloulklubed,PW,1587268483,7.04,134.26,86.0,74,75,14.99
43,Nanortalik,GL,1587268483,60.14,-45.24,28.63,91,71,3.24
44,Tiksi,RU,1587268484,71.69,128.87,15.01,85,95,4.59
45,Clyde River,CA,1587268484,70.47,-68.59,3.2,77,90,9.17
46,Esperance,AU,1587268484,-33.87,121.9,68.0,68,40,25.28
47,Shar,KZ,1587268484,49.59,81.05,57.6,42,14,3.33
48,Kokopo,PG,1587268484,-4.35,152.26,84.79,73,45,5.75
49,Moindou,NC,1587268484,-21.69,165.68,86.0,51,75,13.87
50,Nikolskoye,RU,1587268349,59.7,30.79,36.1,92,90,8.95
51,Zarubino,RU,1587268484,42.63,131.09,45.0,66,100,12.24
52,Arraial do Cabo,BR,1587268485,-22.97,-42.03,73.99,66,99,6.02
53,Hofn,IS,1587268485,64.25,-15.21,45.59,87,100,13.91
54,Longyearbyen,SJ,1587268485,78.22,15.64,21.2,92,20,2.24
55,Albany,US,1587268385,42.6,-73.97,38.52,46,1,1.01
56,Mataura,NZ,1587268485,-46.19,168.86,50.0,78,64,8.01
57,Hobart,AU,1587268485,-42.88,147.33,54.63,76,75,10.29
58,Hithadhoo,MV,1587268328,-0.6,73.08,84.13,73,25,11.07
59,Kiunga,PG,1587268486,-6.12,141.29,85.93,69,84,0.83
60,Menongue,AO,1587268486,-14.66,17.69,61.92,60,100,2.82
61,Sobolevo,RU,1587268486,54.43,31.9,33.19,84,100,7.31
62,Bluff,NZ,1587268317,-46.6,168.33,50.0,78,98,8.01
63,Viseu,PT,1587268486,40.66,-7.91,47.8,1,21,5.99
64,Pevek,RU,1587268486,69.7,170.31,5.2,92,74,6.08
65,Torbay,CA,1587268487,47.67,-52.73,27.75,68,20,9.17
66,Saint-Augustin,CA,1587268487,51.23,-58.65,23.67,94,4,10.92
67,Cabo San Lucas,MX,1587268395,22.89,-109.91,67.41,74,3,13.31
68,Kiryat Gat,IL,1587268488,31.61,34.76,60.26,76,0,1.01
69,Hong Kong,HK,1587268488,22.29,114.16,75.85,89,48,7.0
70,Fort Nelson,CA,1587268488,58.81,-122.7,57.2,30,20,8.05
71,Hilo,US,1587268488,19.73,-155.09,73.38,57,90,9.17
72,Yeppoon,AU,1587268488,-23.13,150.73,87.8,48,75,11.41
73,Los Llanos de Aridane,ES,1587268489,28.66,-17.92,62.6,63,23,8.05
74,Ingersoll,CA,1587268489,43.03,-80.88,42.37,70,40,12.75
75,Birao,CF,1587268489,10.28,22.79,72.52,16,100,1.95
76,Lompoc,US,1587268469,34.64,-120.46,52.95,66,20,6.93
77,Atuona,PF,1587268489,-9.8,-139.03,81.81,76,65,14.81
78,Tarko-Sale,RU,1587268489,64.92,77.78,42.35,93,100,27.42
79,Sinnamary,GF,1587268489,5.38,-52.95,79.54,86,97,10.47
80,Vao,NC,1587268489,-22.67,167.48,76.91,70,3,8.66
81,Souillac,MU,1587268378,-20.52,57.52,77.47,78,40,13.87
82,Qom,IR,1587268490,34.64,50.88,64.71,38,99,0.92
83,Monrovia,LR,1587268490,6.3,-10.8,80.55,83,98,6.24
84,Qaryat Sulūq,LY,1587268490,31.67,20.25,59.0,50,31,7.27
85,Kiyasovo,RU,1587268490,56.35,53.12,35.01,91,14,3.0
86,Grand Gaube,MU,1587268490,-20.01,57.66,77.65,78,40,13.87
87,Qui Nhon,VN,1587268491,13.77,109.23,86.14,60,35,6.4
88,Beloha,MG,1587268491,-25.17,45.05,69.04,83,0,10.6
89,Qaanaaq,GL,1587268316,77.48,-69.36,18.3,86,100,14.25
90,Kruisfontein,ZA,1587268491,-34.0,24.73,65.25,35,1,7.34
91,Airai,TL,1587268348,-8.93,125.41,73.67,43,37,4.25
92,Kokstad,ZA,1587268491,-30.55,29.42,50.41,44,0,4.16
93,Salinas,US,1587268491,36.68,-121.66,54.21,71,1,5.82
94,Ponta do Sol,PT,1587268453,32.67,-17.1,57.99,60,9,7.0
95,Taoudenni,ML,1587268492,22.68,-3.98,76.15,58,92,10.65
96,Tuatapere,NZ,1587268492,-46.13,167.68,50.0,78,83,8.01
97,Sioux Lookout,CA,1587268341,50.1,-91.92,26.92,68,40,4.7
98,George Town,MY,1587268390,5.41,100.34,88.68,70,20,3.36
99,Buritis,BR,1587268493,-15.62,-46.42,69.64,77,78,3.47
100,Sakakah,SA,1587268494,29.97,40.21,64.4,59,7,3.36
101,Bonavista,CA,1587268500,48.65,-53.11,28.35,96,35,4.09
102,Porbandar,IN,1587268501,21.64,69.61,83.3,61,74,11.05
103,Kapaa,US,1587268448,22.08,-159.32,77.14,61,1,9.17
104,Porto Santo,PT,1587268501,33.07,-16.34,60.8,77,40,12.75
105,Sakhipur,BD,1587268501,24.3,90.18,82.4,65,20,6.93
106,College,US,1587268501,64.86,-147.8,43.61,81,75,4.7
107,Filingué,NE,1587268501,14.35,3.32,82.47,13,0,6.78
108,Carnarvon,AU,1587268501,-24.87,113.63,82.4,58,3,12.75
109,Nampula,MZ,1587268501,-15.12,39.27,73.4,94,75,9.17
110,Butaritari,KI,1587268502,3.07,172.79,83.17,79,100,16.71
111,Qian’an,CN,1587268502,44.99,124.06,65.75,25,100,20.78
112,Bethel,US,1587268502,41.37,-73.41,32.7,92,1,7.0
113,Wesselsbron,ZA,1587268502,-27.85,26.37,59.74,46,0,5.28
114,Rabo de Peixe,PT,1587268502,37.8,-25.58,62.6,93,75,14.99
115,Rawlins,US,1587268502,41.79,-107.24,33.8,43,1,1.7
116,São Filipe,CV,1587268502,14.9,-24.5,71.11,73,11,17.74
117,Hailin,CN,1587268502,44.58,129.42,62.26,30,100,13.31
118,Berlevåg,NO,1587268503,70.86,29.09,35.46,92,99,5.91
119,Oil City,US,1587268503,41.43,-79.71,36.64,60,40,5.82
120,Leningradskiy,RU,1587268330,69.38,178.42,8.6,89,16,8.63
121,Aswān,EG,1587268503,24.09,32.91,64.72,36,0,6.35
122,Barrow,US,1587268504,71.29,-156.79,8.6,71,1,9.17
123,Batagay-Alyta,RU,1587268504,67.8,130.41,11.82,74,84,2.62
124,Virginia Beach,US,1587268083,36.85,-75.98,48.52,70,1,6.93
125,New Norfolk,AU,1587268504,-42.78,147.06,55.63,74,88,1.01
126,Challapata,BO,1587268504,-18.9,-66.77,44.53,23,2,4.5
127,Vangaindrano,MG,1587268504,-23.35,47.6,71.69,89,32,2.44
128,Biltine,TD,1587268504,14.53,20.92,75.11,16,23,10.92
129,Khovd,MN,1587268505,48.01,91.64,40.06,33,0,3.96
130,Vaini,TO,1587268505,-21.2,-175.2,82.4,69,40,12.75
131,Kalmunai,LK,1587268505,7.42,81.82,85.12,71,60,6.4
132,Huarmey,PE,1587268505,-10.07,-78.15,72.0,78,56,7.61
133,Dicabisagan,PH,1587268505,17.08,122.42,84.34,71,11,10.45
134,Kendari,ID,1587268506,-3.94,122.5,87.1,70,73,1.25
135,Voh,NC,1587268507,-20.97,164.7,82.17,64,29,4.9
136,Khatanga,RU,1587268507,71.97,102.5,21.69,95,0,5.86
137,Chui,UY,1587268314,-33.7,-53.46,63.37,87,0,9.31
138,Linqiong,CN,1587268508,30.42,103.46,67.93,82,40,4.47
139,Vila Franca do Campo,PT,1587268399,37.72,-25.43,62.6,93,75,14.99
140,Itapecerica,BR,1587268233,-20.47,-45.13,60.91,72,100,5.48
141,Harper,LR,1587268509,4.38,-7.72,79.81,84,100,8.3
142,Parrita,CR,1587268509,9.52,-84.32,73.4,73,99,6.93
143,Cherskiy,RU,1587268361,68.75,161.3,9.97,91,0,12.28
144,Half Moon Bay,US,1587268509,37.46,-122.43,53.96,76,1,4.63
145,Sibu,MY,1587268509,2.3,111.82,84.07,74,75,6.93
146,Kavieng,PG,1587268510,-2.57,150.8,83.8,72,86,4.0
147,Genhe,CN,1587268510,50.78,121.52,35.46,55,79,9.37
148,Terrace Bay,CA,1587268510,48.78,-87.1,25.84,92,71,15.73
149,Bogorodskoye,RU,1587268510,56.55,37.88,32.86,91,100,4.52
150,Grindavik,IS,1587268420,63.84,-22.43,37.04,100,90,9.17
151,Strezhevoy,RU,1587268510,60.73,77.59,53.6,50,100,13.42
152,Thompson,CA,1587268511,55.74,-97.86,6.8,50,5,3.36
153,Kahului,US,1587268338,20.89,-156.47,74.64,57,1,17.22
154,Tambacounda,SN,1587268511,13.75,-13.76,84.2,32,50,6.93
155,Yellowknife,CA,1587268371,62.46,-114.35,33.03,90,75,17.22
156,Mount Gambier,AU,1587268511,-37.83,140.77,62.6,59,75,9.17
157,Marabá,BR,1587268482,-5.37,-49.12,77.0,100,88,2.24
158,Östersund,SE,1587268512,63.18,14.64,32.63,83,0,10.29
159,East London,ZA,1587268306,-33.02,27.91,68.0,68,0,10.29
160,Rawson,AR,1587268512,-43.3,-65.1,68.45,36,98,13.04
161,Sirte,LY,1587268512,31.21,16.59,61.23,67,0,11.79
162,Ponnāni,IN,1587268287,10.77,75.93,87.8,62,20,6.93
163,Raudeberg,NO,1587268512,61.99,5.14,36.99,71,8,5.82
164,Kaspiysk,RU,1587268512,42.88,47.64,46.2,100,90,2.24
165,Xining,CN,1587268512,36.62,101.77,52.66,20,96,6.62
166,Thinadhoo,MV,1587268513,0.53,72.93,83.91,76,75,11.65
167,Vanimo,PG,1587268513,-2.67,141.3,87.03,63,77,1.07
168,Dingle,PH,1587268513,11.0,122.67,89.49,52,26,12.08
169,Shintomi,JP,1587268513,32.08,131.47,64.4,59,75,9.17
170,Lorengau,PG,1587268513,-2.02,147.27,84.54,72,5,1.52
171,Melo,UY,1587268513,-32.37,-54.18,56.86,90,0,7.4
172,Jalu,LY,1587268514,29.03,21.55,62.94,43,28,7.2
173,Port Elizabeth,ZA,1587268514,-33.92,25.57,57.2,100,0,4.7
174,Nelson Bay,AU,1587268514,-32.72,152.15,71.26,46,3,10.29
175,Havøysund,NO,1587268514,71.0,24.66,37.4,93,85,13.87
176,Gornopravdinsk,RU,1587268514,60.05,69.9,44.69,72,95,9.93
177,Barra de Tecoanapa,MX,1587268514,16.52,-98.75,79.59,78,18,4.25
178,Meulaboh,ID,1587268515,4.14,96.13,85.5,67,64,1.45
179,Bāgepalli,IN,1587268515,13.78,77.79,80.6,74,0,5.82
180,Aklavik,CA,1587268443,68.22,-135.01,21.2,67,90,6.93
181,Port Macquarie,AU,1587268516,-31.43,152.92,73.4,66,9,5.7
182,Lang Son,VN,1587268230,21.83,106.73,78.76,69,100,5.14
183,City of San Pedro,PH,1587268516,14.35,121.02,91.85,59,40,10.29
184,Wanaka,NZ,1587268516,-44.7,169.15,48.47,58,71,10.07
185,Yumen,CN,1587268516,40.28,97.2,53.51,21,82,21.34
186,Tomatlán,MX,1587268516,19.93,-105.25,72.97,73,74,9.55
187,Samarai,PG,1587268414,-10.62,150.67,85.08,70,63,4.92
188,San Juan,AR,1587268241,-31.54,-68.54,73.29,34,0,3.4
189,Aripuanã,BR,1587268517,-9.17,-60.63,71.71,94,24,1.66
190,Kaitangata,NZ,1587268517,-46.28,169.85,55.99,52,60,11.99
191,Tselinnoye,RU,1587268517,53.08,85.67,49.15,65,0,5.86
192,Bengkulu,ID,1587268341,-3.8,102.27,84.7,67,72,1.03
193,Hualmay,PE,1587268517,-11.1,-77.61,69.93,81,9,6.2
194,Ouallam,NE,1587268518,14.32,2.09,83.91,16,4,7.67
195,Maltahöhe,NA,1587268518,-24.83,16.98,64.71,23,33,1.52
196,Orshanka,RU,1587268518,56.92,47.89,34.0,85,93,7.56
197,Egvekinot,RU,1587268518,66.32,-179.17,9.75,90,100,18.86
198,Dunedin,NZ,1587268519,-45.87,170.5,60.01,51,5,1.99
199,Okhotsk,RU,1587268519,59.38,143.3,18.66,81,0,10.92
200,Soyo,AO,1587268519,-6.13,12.37,78.01,81,98,1.54
201,Bodden Town,KY,1587268520,19.28,-81.25,80.67,75,0,4.0
202,Sinop Province,TR,1587268520,41.77,34.87,45.57,58,0,1.72
203,Sitka,US,1587268414,57.05,-135.33,51.24,71,20,5.82
204,Deputatsky,RU,1587268520,69.3,139.9,4.78,77,100,3.31
205,Ust-Nera,RU,1587268521,64.57,143.2,5.99,77,99,6.31
206,Lata,PT,1587268521,40.16,-8.33,50.88,95,15,3.13
207,Quatre Cocos,MU,1587268521,-20.21,57.76,77.54,78,40,13.87
208,Nexø,DK,1587268521,55.06,15.13,35.6,69,0,5.82
209,Mahébourg,MU,1587268521,-20.41,57.7,77.4,78,40,13.87
210,Anking,CN,1587268390,30.51,117.05,59.47,81,99,4.45
211,Juneau,US,1587268502,58.3,-134.42,57.2,47,20,3.36
212,Kempen,DE,1587268309,51.37,6.42,51.8,87,23,2.24
213,Olhão,PT,1587268523,37.03,-7.84,57.18,72,0,11.41
214,Kutum,SD,1587268523,14.2,24.67,62.37,23,48,4.5
215,Hajnówka,PL,1587268523,52.74,23.58,31.53,88,28,5.91
216,Felanitx,ES,1587268523,39.47,3.15,62.98,93,40,8.05
217,Alyangula,AU,1587268523,-13.85,136.42,84.2,79,40,4.7
218,Nizhniy Tsasuchey,RU,1587268524,50.52,115.13,34.38,52,25,15.23
219,Upernavik,GL,1587268525,72.79,-56.15,21.63,91,98,12.26
220,Constitución,CL,1587268525,-35.33,-72.42,57.65,87,8,9.62
221,Leshukonskoye,RU,1587268525,64.9,45.76,33.01,95,100,3.02
222,Port Blair,IN,1587268312,11.67,92.75,83.79,73,11,6.13
223,Saint-Philippe,RE,1587268525,-21.36,55.77,71.08,74,47,18.34
224,Yenagoa,NG,1587268526,4.92,6.26,77.65,92,92,2.39
225,Faya,SA,1587268526,18.39,42.45,61.7,93,40,5.82
226,Doha,QA,1587268333,25.29,51.53,77.11,78,98,6.93
227,Bratsk,RU,1587268526,56.13,101.61,32.0,69,0,8.95
228,Te Anau,NZ,1587268280,-45.42,167.72,48.22,66,69,9.24
229,Ostrovnoy,RU,1587268526,68.05,39.51,31.78,98,99,9.66
230,Wajid,SO,1587268527,3.81,43.25,77.31,71,100,10.09
231,Nakhon Sawan,TH,1587268527,15.7,100.14,94.32,43,9,8.95
232,Tolmezzo,IT,1587268527,46.41,13.02,50.0,67,92,1.19
233,Kavaratti,IN,1587268527,10.57,72.64,87.8,70,20,4.7
234,Dongsheng,CN,1587268528,39.82,109.98,57.36,22,34,24.4
235,Collierville,US,1587268474,35.04,-89.66,52.86,76,1,5.06
236,Norman Wells,CA,1587268528,65.28,-126.83,33.8,91,90,9.17
237,Māngrol,IN,1587268528,21.12,70.12,83.17,55,80,9.69
238,Adrar,MR,1587268528,20.5,-10.07,71.87,36,4,15.01
239,Carutapera,BR,1587268389,-1.2,-46.02,78.58,82,100,3.27
240,Kemijärvi,FI,1587268529,66.71,27.43,24.1,95,43,4.25
241,Bowen,AU,1587268385,-20.02,148.23,89.85,52,40,8.05
242,Salym,RU,1587268529,60.06,71.48,47.16,69,90,10.09
243,Yerbogachën,RU,1587268529,61.28,108.01,22.46,82,94,7.61
244,Panabá,MX,1587268529,21.28,-88.27,79.83,66,0,10.65
245,Cidreira,BR,1587268529,-30.18,-50.21,66.92,84,0,13.11
246,Tilichiki,RU,1587268530,60.47,166.1,12.7,92,32,12.01
247,Pangoa,PE,1587268530,-12.12,-73.0,64.71,70,29,1.81
248,Marabu,MY,1587268256,4.41,114.01,87.4,79,75,4.7
249,Yondó,CO,1587268530,7.01,-73.91,75.52,90,99,1.79
250,Saint Paul Harbor,US,1587268530,57.79,-152.41,44.6,81,20,9.17
251,Ayan,RU,1587268530,56.45,138.17,22.35,79,100,4.52
252,Beisfjord,NO,1587268530,68.38,17.6,36.16,86,100,21.92
253,Sanguéya,GN,1587268530,10.7,-14.37,76.06,76,100,2.91
254,Richards Bay,ZA,1587268531,-28.78,32.04,71.22,78,30,8.9
255,Cortez,US,1587268531,37.35,-108.59,46.15,40,75,4.7
256,Camocim,BR,1587268531,-2.9,-40.84,75.76,89,91,1.57
257,Saint-Louis,SN,1587268531,16.33,-15.0,69.8,68,6,2.24
258,Visim,RU,1587268531,57.65,59.5,35.33,76,14,10.2
259,Alofi,NU,1587268531,-19.06,-169.92,84.2,74,18,17.22
260,Mount Isa,AU,1587268532,-20.73,139.5,91.4,15,26,6.93
261,Sidrolândia,BR,1587268478,-20.93,-54.96,69.8,68,0,8.05
262,Naze,JP,1587268532,28.37,129.48,76.12,78,75,18.34
263,Iralaya,HN,1587268532,15.0,-83.23,78.39,84,0,9.93
264,‘Āhuimanu,US,1587268532,21.44,-157.84,78.06,54,1,10.29
265,Saint-Joseph,RE,1587268532,-21.37,55.62,71.22,74,32,18.34
266,Petropavlovsk-Kamchatskiy,RU,1587268532,53.05,158.65,41.0,41,20,20.13
267,Mbandaka,CD,1587268399,0.05,18.26,71.37,86,85,1.54
268,Aitape,PG,1587268533,-3.14,142.35,87.94,58,14,2.8
269,Hammerfest,NO,1587268533,70.66,23.68,37.4,93,97,13.87
270,Marfino,RU,1587268533,55.7,37.38,33.8,86,75,6.71
271,Gujar Khan,PK,1587268533,33.26,73.3,68.23,60,20,9.17
272,Shirokiy,RU,1587268533,49.76,129.52,63.75,26,100,20.4
273,Itupiranga,BR,1587268533,-5.13,-49.33,77.0,100,91,2.24
