,City,Country,Date,Latitude,Longitutde,Temperature (F),Humidity (%),Cloudiness (%),Windiness(mph)
274,Iquique,CL,1587268341,-20.22,-70.14,64.4,72,23,5.82
275,Zabid,YE,1587268533,14.2,43.32,82.29,70,100,8.93
276,Novopokrovka,UA,1587268534,49.84,36.55,39.63,66,92,4.43
277,San Rafael,AR,1587268534,-34.62,-68.33,69.06,40,86,10.89
278,Panguna,PG,1587268534,-6.32,155.48,77.85,73,52,1.32
279,Na Wa,TH,1587268534,17.49,104.1,90.41,62,20,4.7
280,Aksarka,RU,1587268534,66.56,67.8,33.57,98,100,4.85
281,Mizdah,LY,1587268534,31.45,12.98,63.59,35,61,12.1
282,Evinayong,GQ,1587268534,1.44,10.55,67.41,80,88,1.79
283,Talgar,KZ,1587268534,43.3,77.24,59.0,58,0,4.47
284,Ol'khovatka,RU,1587268535,50.28,39.29,36.57,76,5,4.29
285,Morant Bay,JM,1587268535,17.88,-76.41,78.19,74,20,4.7
286,Port Hardy,CA,1587268323,50.7,-127.42,48.2,93,20,5.82
287,Coyhaique,CL,1587268430,-45.58,-72.07,44.6,87,90,5.82
288,Balad,IQ,1587268536,34.02,44.15,67.37,48,0,7.23
289,Ituiutaba,BR,1587268536,-18.97,-49.47,70.61,78,100,4.14
290,Tautira,PF,1587268536,-17.73,-149.15,83.19,69,77,3.36
291,Saint George,US,1587268305,37.1,-113.58,61.74,39,40,9.17
292,Erenhot,CN,1587268537,43.65,111.98,43.43,59,100,19.51
293,Caçapava,BR,1587268437,-23.1,-45.71,64.4,82,75,4.7
294,Narasannapeta,IN,1587268537,18.42,84.05,88.32,61,0,11.43
295,San Diego de Los Baños,CU,1587268537,22.65,-83.37,77.52,81,5,1.68
296,Popondetta,PG,1587268537,-8.75,148.25,90.03,51,24,4.72
297,Coquimbo,CL,1587268537,-29.95,-71.34,57.2,93,3,4.7
298,Tuktoyaktuk,CA,1587268303,69.45,-133.04,8.6,84,75,12.75
299,Dęblin,PL,1587268538,51.56,21.85,31.33,50,0,1.45
300,Elizabeth City,US,1587268538,36.29,-76.25,45.59,79,0,10.22
301,Kaitong,CN,1587268538,44.81,123.15,66.67,24,100,21.5
302,Araouane,ML,1587268538,18.9,-3.53,80.33,38,50,22.73
303,Yulara,AU,1587268538,-25.24,130.99,91.4,19,51,8.05
304,Shache,CN,1587268538,38.42,77.24,57.9,42,100,9.98
305,Boende,CD,1587268538,-0.22,20.87,70.34,87,100,2.04
306,Makkah al Mukarramah,SA,1587268350,21.43,39.83,73.71,50,98,2.57
307,Spasskoye,RU,1587268539,44.61,132.8,58.95,38,100,10.22
308,Paranaíba,BR,1587268539,-19.68,-51.19,68.43,86,100,2.15
309,Bend,US,1587268251,44.06,-121.32,41.59,43,1,5.82
310,Kawalu,ID,1587268539,-7.38,108.21,88.32,49,99,0.87
311,Necochea,AR,1587268539,-38.55,-58.74,62.31,82,100,13.0
312,Ankazoabo,MG,1587268539,-22.28,44.52,65.08,71,10,2.57
313,Florianópolis,BR,1587268539,-27.61,-48.5,64.4,93,40,1.12
314,Naryan-Mar,RU,1587268539,67.67,53.09,30.47,98,95,3.8
315,San Quintín,MX,1587268540,30.48,-115.95,59.9,76,3,16.69
316,Taltal,CL,1587268540,-25.4,-70.48,61.39,72,4,3.36
317,Kushmurun,KZ,1587268540,52.45,64.63,49.93,71,98,5.7
318,Ribe,DK,1587268540,55.33,8.77,36.19,80,0,8.05
319,Sisimiut,GL,1587268540,66.94,-53.67,21.16,85,55,19.17
320,Iqaluit,CA,1587268540,63.75,-68.51,-4.0,76,5,3.33
321,Shingū,JP,1587268540,33.73,135.98,66.2,52,75,17.22
322,Sangar,RU,1587268540,63.92,127.47,18.84,78,5,2.73
323,Shizunai-furukawachō,JP,1587268541,42.33,142.37,51.66,47,100,9.84
324,Perth,AU,1587268541,-31.93,115.83,71.6,49,40,18.34
325,Bandi̇̄pur,NP,1587268541,27.93,84.42,75.25,30,1,1.36
326,Armstrong,AR,1587268541,-32.78,-61.6,60.73,62,0,7.4
327,Mlowo,TZ,1587268541,-9.0,32.98,55.98,61,98,2.57
328,Bathsheba,BB,1587268541,13.22,-59.52,78.8,78,40,17.22
329,Sundargarh,IN,1587268541,22.12,84.03,95.22,18,28,4.14
330,Jutaí,BR,1587268542,-5.18,-68.9,73.51,80,57,0.72
331,Daru,PG,1587268542,-9.08,143.21,85.95,68,83,6.04
332,Patea,NZ,1587268542,-39.76,174.48,61.88,69,100,4.0
333,Ahipara,NZ,1587268372,-35.17,173.17,66.97,74,100,8.99
334,Pāsighāt,IN,1587268542,28.07,95.33,70.23,75,96,6.87
335,Arlit,NE,1587268542,18.74,7.39,81.39,12,0,7.2
336,Klaksvík,FO,1587268542,62.23,-6.59,41.0,86,0,11.41
337,Livingstonia,MW,1587268542,-10.61,34.11,61.83,60,83,4.23
338,Ocós,GT,1587268542,14.51,-92.19,82.4,78,75,3.83
339,Koygorodok,RU,1587268543,60.45,51.0,32.45,91,99,4.85
340,Sakaiminato,JP,1587268543,35.55,133.23,58.28,67,75,11.41
341,Isangel,VU,1587268543,-19.55,169.27,86.0,74,75,13.87
342,Hobyo,SO,1587268543,5.35,48.53,83.79,72,95,8.32
343,Narsaq,GL,1587268340,60.92,-46.05,28.4,42,100,10.29
344,Reyes,BO,1587268543,-14.32,-67.38,65.59,79,0,2.01
345,Saint Anthony,US,1587268543,45.02,-93.22,49.87,43,1,6.93
346,Calabar,NG,1587268543,4.95,8.32,78.13,88,100,2.28
347,Auki,SB,1587268544,-8.77,160.7,82.96,73,59,1.23
348,Weiswampach,LU,1587268544,50.14,6.08,46.33,95,9,2.21
349,Andenes,NO,1587268544,69.31,16.12,39.0,93,79,19.46
350,Kupang,ID,1587268544,-10.17,123.58,89.6,70,20,5.82
351,Seymchan,RU,1587268544,62.88,152.43,5.86,85,100,14.7
352,Vardø,NO,1587268544,70.37,31.11,36.18,83,100,15.28
353,Kazachinskoye,RU,1587268544,57.7,93.28,38.79,68,0,9.82
354,Ilulissat,GL,1587268544,69.22,-51.1,23.0,57,100,21.92
355,Bilma,NE,1587268545,18.69,12.92,79.16,15,26,5.57
356,Provideniya,RU,1587268309,64.38,-173.3,23.09,95,100,13.85
357,Cabedelo,BR,1587268446,-6.98,-34.83,77.0,94,33,1.5
358,Terney,RU,1587268545,45.05,136.61,48.2,51,0,6.96
359,Mafinga,TZ,1587268545,-7.25,35.07,62.89,70,99,2.17
360,Sompeta,IN,1587268545,18.93,84.6,90.21,54,0,10.4
361,São Gabriel da Cachoeira,BR,1587268545,-0.13,-67.09,73.09,92,97,1.07
362,Taldan,RU,1587268545,53.67,124.8,29.01,80,100,10.87
363,Bilibino,RU,1587268546,68.05,166.44,10.71,80,49,6.22
364,Flinders,AU,1587268546,-34.58,150.86,69.67,69,45,1.99
365,Najrān,SA,1587268546,17.49,44.13,73.4,56,75,4.7
366,Ulaanbaatar,MN,1587268410,47.91,106.88,37.4,37,40,20.13
367,São João da Barra,BR,1587268546,-21.64,-41.05,72.19,78,100,9.98
368,Tuntum,BR,1587268546,-5.26,-44.65,74.34,89,98,1.39
369,Noumea,NC,1587268546,-22.28,166.46,84.76,51,75,13.87
370,Kānkon,IN,1587268546,15.02,74.02,87.8,52,40,5.82
371,Rosetta,EG,1587268546,31.4,30.42,62.6,82,17,9.17
372,Youghal,IE,1587268547,51.95,-7.85,47.48,100,90,12.75
373,Gao,ML,1587268547,16.64,1.64,82.15,12,32,7.43
374,Tura,IN,1587268547,25.52,90.22,73.22,77,81,6.29
375,Broken Hill,AU,1587268547,-31.95,141.43,69.8,35,40,10.29
376,Polunochnoye,RU,1587268547,60.87,60.42,37.38,75,74,8.16
377,Savannakhet,LA,1587268547,16.57,104.75,89.6,55,40,2.24
378,Chara,RU,1587268547,56.91,118.26,17.08,70,100,8.08
379,Porosozero,RU,1587268547,62.72,32.73,31.21,93,97,8.21
380,Mackay,AU,1587268548,-21.15,149.2,89.85,66,75,12.75
381,Portland,US,1587268415,45.52,-122.68,49.89,87,90,4.7
382,Thunder Bay,CA,1587268411,48.4,-89.32,32.47,90,90,9.17
383,Willowmore,ZA,1587268548,-33.29,23.49,59.4,24,75,3.49
384,Kostolac,RS,1587268548,44.71,21.17,45.57,93,96,1.12
385,Yazman,PK,1587268548,29.12,71.74,81.48,35,100,7.0
386,Estevan,CA,1587268549,49.13,-102.98,24.03,68,1,9.17
387,Kuusamo,FI,1587268549,65.97,29.18,32.0,96,90,6.93
388,Choya,RU,1587268549,52.01,86.55,53.82,46,0,2.48
389,Vaitape,PF,1587268549,-16.52,-151.75,84.06,72,87,11.01
390,Hefei,CN,1587268510,31.86,117.28,59.58,93,90,8.95
391,Bandarbeyla,SO,1587268549,9.49,50.81,80.78,71,61,6.22
392,Padang,ID,1587268549,-0.95,100.35,86.52,66,16,1.05
393,Kati,ML,1587268550,12.74,-8.07,86.0,51,20,8.05
394,Alice Springs,AU,1587268550,-23.7,133.88,89.6,19,9,4.7
395,Mayor Pablo Lagerenza,PY,1587268550,-19.93,-60.77,64.18,45,0,0.98
396,Balikpapan,ID,1587268550,-1.27,116.83,86.0,74,40,8.05
397,Invermere,CA,1587268550,50.52,-116.04,40.28,59,99,1.63
398,Saint-Paul,RE,1587268551,-21.01,55.27,69.19,88,90,13.87
399,Saldanha,ZA,1587268552,-33.01,17.94,59.0,82,92,4.7
400,Tshikapa,CD,1587268552,-6.42,20.8,69.15,82,99,2.57
401,Hailey,US,1587268552,43.52,-114.32,53.6,18,5,8.05
402,Nurota,UZ,1587268552,40.56,65.69,66.2,48,16,11.41
403,Ola,RU,1587268553,59.58,151.28,16.11,83,95,12.03
404,Burnie,AU,1587268553,-41.07,145.92,57.06,7,96,5.99
405,Bulawayo,ZW,1587268553,-20.15,28.58,61.68,57,100,13.58
406,Wajir,KE,1587268553,1.75,40.06,78.66,71,100,12.64
407,Bambous Virieux,MU,1587268553,-20.34,57.76,77.49,78,40,13.87
408,Solnechnyy,RU,1587268553,50.72,136.63,44.1,52,100,4.25
409,Santa Rita,BR,1587268553,-7.11,-34.98,77.0,94,54,1.28
410,Port Hedland,AU,1587268553,-20.32,118.57,96.8,47,15,10.29
411,Nishihara,JP,1587268554,26.18,127.76,76.51,83,90,12.75
412,Madang,PG,1587268554,-5.22,145.8,86.59,64,98,3.22
413,Izhma,RU,1587268554,65.01,53.91,34.61,96,100,1.01
414,Casablanca,MA,1587268294,33.59,-7.62,62.01,93,75,5.82
415,Port Keats,AU,1587268554,-14.25,129.55,88.99,59,43,6.44
416,Severo-Yeniseyskiy,RU,1587268554,60.37,93.04,33.03,72,0,5.75
417,Sola,VU,1587268554,-13.88,167.55,87.8,79,75,4.7
418,Moratuwa,LK,1587268555,6.77,79.88,84.36,74,5,3.24
419,Mingora,PK,1587268529,34.78,72.36,64.72,37,83,3.51
420,Beşikdüzü,TR,1587268555,41.05,39.23,51.8,93,75,2.24
421,Nkayi,CG,1587268555,-4.18,13.29,73.81,89,100,1.03
422,Maragogi,BR,1587268555,-9.01,-35.22,79.7,79,84,2.44
423,Damaturu,NG,1587268555,11.75,11.96,75.61,14,53,1.77
424,Novopskov,UA,1587268555,49.55,39.09,38.62,71,55,1.77
425,Grande Rivière du Nord,HT,1587268555,19.58,-72.18,74.7,82,32,2.1
426,The Valley,AI,1587268556,18.22,-63.06,79.86,74,40,12.75
427,Aksay,RU,1587268556,47.26,39.87,35.6,55,100,6.71
428,Maceió,BR,1587268556,-9.67,-35.74,79.38,80,100,2.06
429,Marsaxlokk,MT,1587268556,35.84,14.54,59.31,100,20,8.05
430,Vestmanna,FO,1587268556,62.16,-7.17,41.0,86,0,11.41
431,Ilo,PE,1587268556,-17.64,-71.34,69.69,77,45,4.74
432,Furukawa,JP,1587268556,38.57,140.96,55.31,58,75,17.22
433,Victor Harbor,AU,1587268557,-35.57,138.62,65.08,54,100,4.0
434,Lufilufi,WS,1587268557,-13.87,-171.6,89.01,70,86,8.01
435,Ormara,PK,1587268557,25.21,64.64,79.0,71,21,7.14
436,Ghanzi,BW,1587268557,-21.57,21.78,68.74,35,20,10.56
437,Altay,CN,1587268557,47.87,88.12,53.15,30,48,1.1
438,Langxiang,CN,1587268557,46.95,128.88,62.53,26,100,10.07
439,Agadez,NE,1587268381,19.75,10.25,78.24,14,14,7.09
440,Kaeo,NZ,1587268557,-35.1,173.78,68.0,81,100,9.17
441,Verāval,IN,1587268557,20.9,70.37,85.23,47,64,11.68
442,Hamilton,US,1587268525,39.18,-84.53,43.84,80,1,5.82
443,Broome,US,1587268558,42.25,-75.83,30.33,59,1,4.7
444,Vila Velha,BR,1587268558,-20.33,-40.29,73.18,78,69,8.05
445,Emba,KZ,1587268558,48.83,58.14,49.1,68,100,3.4
446,Portree,GB,1587268558,57.41,-6.19,41.04,74,0,1.01
447,Holland,US,1587268496,42.79,-86.11,48.83,53,1,28.86
448,Puerto Escondido,MX,1587268485,15.85,-97.07,81.75,73,36,1.92
449,Murashi,RU,1587268558,59.4,48.96,32.36,89,99,4.59
450,Tritenii de Jos,RO,1587268559,46.58,24.0,42.98,75,40,2.24
451,Safaga,EG,1587268559,26.73,33.94,66.2,55,0,8.05
452,Margate,GB,1587268311,51.38,1.39,46.33,86,1,3.0
453,Popova,RU,1587268559,42.96,131.72,55.4,35,100,17.9
454,Klyuchi,RU,1587268559,52.27,79.17,57.29,48,9,3.98
455,Mogadishu,SO,1587268559,2.04,45.34,84.2,70,75,6.93
456,Baker City,US,1587268559,44.77,-117.83,50.0,57,1,12.75
457,Ankeny,US,1587268560,41.73,-93.61,55.65,54,40,10.29
458,Kashiwazaki,JP,1587268560,37.37,138.55,57.52,65,78,1.36
459,South Kazakhstan Region,KZ,1587268560,43.0,68.0,66.85,24,0,8.7
460,Altamira,BR,1587268560,-3.2,-52.21,73.49,92,99,1.54
461,Río Gallegos,AR,1587268560,-51.62,-69.22,46.4,61,100,13.87
462,Valleyview,CA,1587268560,55.07,-117.29,36.12,72,0,5.95
463,Magway,MM,1587268560,20.15,94.92,94.42,26,17,6.13
464,Geraldton,AU,1587268561,-28.77,114.6,75.13,53,75,17.22
465,Murgab,TM,1587268561,37.5,61.97,59.0,72,75,4.7
466,Kumul,CN,1587268561,42.8,93.45,66.96,18,81,14.12
467,La Ronge,CA,1587268561,55.1,-105.28,32.0,94,75,3.36
468,Guerrero Negro,MX,1587268431,27.98,-114.06,60.64,72,0,19.42
469,Bud,US,1587268561,39.45,-86.18,44.87,65,1,6.93
470,Bubaque,GW,1587268561,11.28,-15.83,79.92,57,99,15.86
471,Barão de Melgaço,BR,1587268561,-16.19,-55.97,75.2,88,75,4.7
472,Maningrida,AU,1587268562,-12.07,134.27,87.57,56,83,7.18
473,Akdepe,TM,1587268562,42.06,59.38,63.5,39,0,6.93
474,Ancud,CL,1587268336,-41.87,-73.82,50.0,87,95,2.24
475,Abay,KZ,1587268563,49.63,72.85,60.8,36,62,11.18
476,Pangnirtung,CA,1587268563,66.15,-65.71,2.52,83,98,5.12
477,Lugoba,TZ,1587268563,-6.45,38.33,70.5,89,100,4.21
478,Denpasar,ID,1587268563,-8.65,115.22,87.8,84,20,5.82
479,Lubyany,RU,1587268563,56.04,51.4,32.0,80,20,11.18
480,Chokurdakh,RU,1587268563,70.63,147.92,5.05,91,100,11.48
481,Tokmak,UA,1587268564,47.25,35.71,43.81,57,91,3.69
482,Ulaangom,MN,1587268564,49.98,92.07,40.71,41,0,3.85
483,Dobson,US,1587268564,36.4,-80.72,39.52,80,1,3.2
484,Ambon City,ID,1587268564,-3.7,128.18,89.6,66,40,9.17
485,Bereda,ES,1587268564,43.27,-7.54,50.0,99,79,0.49
486,Bavly,RU,1587268564,54.39,53.26,36.81,74,0,9.04
487,Katherine,AU,1587268564,-14.47,132.27,98.6,27,39,9.17
488,Ligayan,PH,1587268564,4.65,119.47,84.74,72,100,8.08
489,Omboué,GA,1587268565,-1.57,9.26,78.39,87,41,2.1
490,Mahon,ES,1587268565,39.89,4.27,60.8,100,100,10.29
491,Halifax,CA,1587268565,44.65,-63.57,31.75,76,100,3.0
492,Mwene-Ditu,CD,1587268565,-7.0,23.45,66.24,76,100,1.79
493,Djambala,CG,1587268565,-2.54,14.75,69.66,75,100,3.22
494,Rapid Valley,US,1587268565,44.06,-103.15,43.92,75,75,12.75
495,Sittwe,MM,1587268565,20.15,92.9,85.87,58,0,1.77
496,Roald,NO,1587268565,62.58,6.13,34.74,93,28,4.7
497,Bay Saint Louis,US,1587268565,30.31,-89.33,69.35,88,75,3.36
498,Ayagoz,KZ,1587268565,47.97,80.44,55.63,35,0,6.89
499,Inuvik,CA,1587268566,68.35,-133.72,21.2,67,90,6.93
500,Concepción del Uruguay,AR,1587268566,-32.48,-58.24,62.44,77,0,7.14
501,Bozdar Wada,PK,1587268566,27.18,68.64,87.64,27,79,13.11
502,Lakes Entrance,AU,1587268566,-37.88,147.98,66.0,46,83,3.0
503,Paamiut,GL,1587268566,61.99,-49.67,25.56,88,97,8.5
504,Niquero,CU,1587268566,20.04,-77.58,76.98,73,0,0.81
505,Herat Province,AF,1587268566,34.5,62.0,59.0,72,40,2.24
506,Dubti,ET,1587268566,11.74,41.09,74.34,70,100,6.13
507,Kununurra,AU,1587268374,-15.77,128.73,98.6,32,44,6.93
508,Sühbaatar,MN,1587268567,50.23,106.21,37.71,46,48,26.06
509,Jiangyou,CN,1587268567,31.77,104.72,71.62,45,97,3.36
510,Mana,GF,1587268567,5.66,-53.78,77.79,89,96,6.62
511,Makakilo City,US,1587268523,21.35,-158.09,80.28,54,20,14.99
512,Santo Tomas,PH,1587268568,14.11,121.14,90.72,59,40,10.29
513,Ust'-Omchug,RU,1587268568,61.15,149.63,1.44,78,100,13.18
514,Bhag,PK,1587268568,29.04,67.82,86.27,17,30,2.17
515,Natal,BR,1587268568,-5.79,-35.21,77.94,94,40,4.7
516,Bushehr,IR,1587268568,28.97,50.84,71.08,53,100,3.83
517,Xiaoweizhai,CN,1587268568,26.19,107.51,65.95,67,93,4.63
518,Saryg-Sep,RU,1587268568,51.5,95.6,48.15,35,0,1.19
519,Panzhihua,CN,1587268568,26.59,101.71,73.99,43,7,3.04
520,Luganville,VU,1587268568,-15.53,167.17,86.0,74,75,9.17
521,Kyren,RU,1587268569,51.68,102.14,32.74,58,97,11.07
522,Ivanivka,UA,1587268569,46.72,34.55,43.21,60,100,3.56
523,Ndola,ZM,1587268569,-12.96,28.64,59.72,66,8,5.82
524,Torrevieja,ES,1587268349,37.98,-0.68,61.47,100,90,3.36
525,Hay River,CA,1587268442,60.82,-115.8,39.2,64,75,12.75
526,Manaure,CO,1587268569,11.78,-72.44,79.92,75,7,14.58
527,Nizhniy Kuranakh,RU,1587268569,58.84,125.49,20.59,84,100,8.32
528,Umluj,SA,1587268570,25.02,37.27,69.4,57,33,4.25
529,Tuburan,PH,1587268570,6.64,122.27,89.6,66,40,9.17
530,Henties Bay,NA,1587268570,-22.12,14.28,55.99,96,15,3.98
531,Mehamn,NO,1587268570,71.04,27.85,37.78,93,100,9.57
532,Nuuk,GL,1587268570,64.18,-51.72,24.8,73,99,13.87
533,Chicama,PE,1587268570,-7.84,-79.15,72.86,73,39,6.24
534,Lancaster,US,1587268570,40.25,-76.25,34.59,64,1,1.88
535,Freetown,SL,1587268570,8.48,-13.23,77.56,75,100,3.87
536,Gorbatov,RU,1587268571,56.13,43.06,33.51,88,47,4.47
537,Antalaha,MG,1587268571,-14.9,50.28,75.83,80,67,13.38
538,Timmins,CA,1587268501,48.47,-81.33,37.4,100,90,8.05
539,Paita,PE,1587268571,-5.09,-81.11,75.02,70,5,11.3
540,Salalah,OM,1587268571,17.02,54.09,80.6,74,40,2.24
541,Sarangani,PH,1587268571,5.4,125.46,84.09,76,15,19.08
542,Yagodnoye,RU,1587268571,62.55,149.67,2.68,81,100,10.09
543,Kirakira,SB,1587268572,-10.45,161.92,82.36,77,97,1.66
544,Nevşehir,TR,1587268573,38.92,34.67,46.9,38,21,1.39
545,Aligoodarz,IR,1587268573,33.4,49.69,46.33,40,83,1.81
546,Diapaga,BF,1587268573,12.07,1.79,85.01,50,74,12.77
547,Lavrentiya,RU,1587268573,65.58,-171.0,20.55,96,100,9.66
548,Codrington,AU,1587268573,-38.27,141.97,61.93,57,94,8.03
